name,tel,address,business_hour
附設餐廳 ,049-227-3797,南投縣名間鄉田仔村田仔巷16-8號,"09:00-18:00,周六~周日:09:00-20:00"
彩雲軒 ,049-221-2999,南投縣魚池鄉日月潭中正路23號,"10:00-14:00,11:30-14:00"
休閑農場南芳宴會廳 ,049-299-7848,南投縣埔里鎮中山路1段176號,"11:00-14:00,17:30-20:00(需事先訂餐,周六日需事前確認)"
爵士印度尼西亞風小館 ,05-227-7319,嘉義市西區西門街1號,"09:00-20:00(需事先預約,周三原則公休,可致電詢問)"
萬國百匯西餐廳 ,05-310-9898,嘉義市東區忠孝路600號,"06:30-10:00,11:30-14:00,14:30-17:00,17:30-21:30"
附設餐廳 ,05-256-2216,嘉義縣竹崎鄉中和村石棹1號,非住宿不提供!
馥桂粵式海鮮料理餐廳 ,06-243-8166,台南市永康區永安一街99號,"11:30–14:00,17:30–21:00"
多功能宴會廳 ,06-213-5555,台南市中西區西門路1段660號,"周六~周日:11:30-14:30,17:30-21:00"
味‧集廚房 ,07-211-5201#2471、2472,高雄市前金區民生二路202號,"06:00–10:00,11:30–14:00,14:30–17:00,18:00–21:00"
雨桐廳 / 泉動廳 / 芒種廳 ,07-561-4688,高雄市鹽埕區大仁路43號,"11:00–14:30,17:30–21:00(需10位以上,一個禮拜前預約)"
夕煙廳KTV餐廳 ,03-987-5599,宜蘭縣礁溪鄉仁愛路66巷6號,"電話事前預約,並提供用餐時間｡"
附設餐廳 ,03-951-1456,宜蘭縣冬山鄉大進村梅山路168號,"11:30–13:30,17:30–19:30(需事前預約,可溝通餐點)"
頭城餐飲 ,03-977-2222,宜蘭縣頭城鎮更新路125之1號,園區參觀包含餐點(需事先預約)
馬丁娜印度小館 ,03-833-4921,花蓮縣花蓮市和平路482號,"11:00-14:00,17:00-21:00"
印度王子,03-831-5776,花蓮縣花蓮市民國路30號,"11:00–14:00,17:00–21:00"
秋草日本料理廳 ,03-812-3999,花蓮縣壽豐鄉鹽寮村山嶺18號,"11:30-14:00,17:30-21:30"
怡華中餐廳 ,03-823-5388#3230,花蓮縣花蓮市永興路2號,"06:30-10:00,11:30-14:30,17:30-21:00(需事先預約)"
益台灣餐廳 ,089-383-969,台東縣台東市中興路六段202號,"17:00-21:00,周二公休,周六~周日:11:00-14:00,17:00-21:00"
翠園 ,089-225-000,台東縣台東市連航路66號,"06:30-09:30,19:00-22:30"
